Volatility 3 Framework 2.14.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xc387e5681050	TCPv4	192.168.47.145	24710	13.107.246.254	443	CLOSE_WAIT	5496	SearchApp.exe	2025-01-30 08:12:03.000000 UTC
0xc387e4fa7010	TCPv4	192.168.47.145	24703	82.102.152.179	443	CLOSE_WAIT	5496	SearchApp.exe	2025-01-30 08:11:52.000000 UTC
0xc387e3869970	TCPv6	::1	445	::1	24714	ESTABLISHED	4	System	2025-01-30 08:14:59.000000 UTC
0xc387e5646b60	TCPv4	192.168.47.145	24712	204.79.197.222	443	CLOSE_WAIT	5496	SearchApp.exe	2025-01-30 08:12:05.000000 UTC
0xc387e704f650	TCPv4	192.168.47.145	24753	51.137.3.145	443	ESTABLISHED	2600	smartscreen.ex	2025-01-30 08:31:07.000000 UTC
0xc387e5142aa0	TCPv6	::1	24714	::1	445	ESTABLISHED	4	System	2025-01-30 08:14:59.000000 UTC
0xc387e386a010	TCPv4	192.168.47.145	24737	172.172.255.216	443	ESTABLISHED	776	svchost.exe	2025-01-30 08:19:59.000000 UTC
0xc387e3447010	TCPv4	192.168.47.145	24713	192.168.47.132	4444	ESTABLISHED	1004	mercury.exe	2025-01-30 08:14:33.000000 UTC
0xc387e611e4b0	TCPv4	192.168.47.145	24735	169.150.247.36	80	CLOSE_WAIT	2732	WFTPServer.exe	2025-01-30 08:17:59.000000 UTC
0xc387e3863a20	TCPv4	192.168.47.145	49713	20.199.120.182	443	ESTABLISHED	776	svchost.exe	2025-01-30 07:18:40.000000 UTC
0xc387e5586050	TCPv4	192.168.47.145	24711	150.171.22.254	443	CLOSE_WAIT	5496	SearchApp.exe	2025-01-30 08:12:04.000000 UTC
0xc387e4d75b50	TCPv4	192.168.47.145	24736	192.168.47.132	5555	ESTABLISHED	6576	powershell.exe	2025-01-30 08:18:05.000000 UTC
0xc387e37e8390	TCPv4	0.0.0.0	21	0.0.0.0	0	LISTENING	2732	WFTPServer.exe	2025-01-30 07:17:57.000000 UTC
0xc387e37e8230	TCPv4	0.0.0.0	21	0.0.0.0	0	LISTENING	2732	WFTPServer.exe	2025-01-30 07:17:57.000000 UTC
0xc387e37e8230	TCPv6	::	21	::	0	LISTENING	2732	WFTPServer.exe	2025-01-30 07:17:57.000000 UTC
0xc387e37e8e90	TCPv4	0.0.0.0	25	0.0.0.0	0	LISTENING	1004	mercury.exe	2025-01-30 08:07:37.000000 UTC
0xc387e15e29f0	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	884	svchost.exe	2025-01-30 07:17:50.000000 UTC
0xc387e15e29f0	TCPv6	::	135	::	0	LISTENING	884	svchost.exe	2025-01-30 07:17:50.000000 UTC
