Volatility 3 Framework 2.14.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xc387de87c080	139	-	N/A	False	2025-01-30 07:17:47.000000 UTC	N/A	Disabled
92	4	Registry	0xc387de908080	4	-	N/A	False	2025-01-30 07:17:42.000000 UTC	N/A	Disabled
312	4	smss.exe	0xc387e1aaa040	2	-	N/A	False	2025-01-30 07:17:47.000000 UTC	N/A	Disabled
420	408	csrss.exe	0xc387e249c140	10	-	0	False	2025-01-30 07:17:48.000000 UTC	N/A	Disabled
496	408	wininit.exe	0xc387e2562140	1	-	0	False	2025-01-30 07:17:49.000000 UTC	N/A	Disabled
504	488	csrss.exe	0xc387e2564080	12	-	1	False	2025-01-30 07:17:49.000000 UTC	N/A	Disabled
564	488	winlogon.exe	0xc387e15950c0	6	-	1	False	2025-01-30 07:17:49.000000 UTC	N/A	Disabled
636	496	services.exe	0xc387e2e31200	6	-	0	False	2025-01-30 07:17:49.000000 UTC	N/A	Disabled
660	496	lsass.exe	0xc387e2e33200	8	-	0	False	2025-01-30 07:17:49.000000 UTC	N/A	Disabled
756	636	svchost.exe	0xc387e2e7d300	21	-	0	False	2025-01-30 07:17:49.000000 UTC	N/A	Disabled
780	496	fontdrvhost.ex	0xc387e2e9c2c0	5	-	0	False	2025-01-30 07:17:49.000000 UTC	N/A	Disabled
784	564	fontdrvhost.ex	0xc387e2e82080	5	-	1	False	2025-01-30 07:17:49.000000 UTC	N/A	Disabled
884	636	svchost.exe	0xc387e2ebb240	12	-	0	False	2025-01-30 07:17:50.000000 UTC	N/A	Disabled
968	636	svchost.exe	0xc387e2f920c0	23	-	0	False	2025-01-30 07:17:50.000000 UTC	N/A	Disabled
1012	636	svchost.exe	0xc387e2fbd240	15	-	0	False	2025-01-30 07:17:50.000000 UTC	N/A	Disabled
348	564	dwm.exe	0xc387e2fbf180	16	-	1	False	2025-01-30 07:17:50.000000 UTC	N/A	Disabled
508	636	svchost.exe	0xc387e30020c0	20	-	0	False	2025-01-30 07:17:50.000000 UTC	N/A	Disabled
776	636	svchost.exe	0xc387e3032080	65	-	0	False	2025-01-30 07:17:50.000000 UTC	N/A	Disabled
1148	636	svchost.exe	0xc387e3082080	17	-	0	False	2025-01-30 07:17:50.000000 UTC	N/A	Disabled
1180	636	svchost.exe	0xc387e30840c0	21	-	0	False	2025-01-30 07:17:50.000000 UTC	N/A	Disabled
1312	636	svchost.exe	0xc387e315b080	18	-	0	False	2025-01-30 07:17:50.000000 UTC	N/A	Disabled
1560	636	svchost.exe	0xc387e3218080	14	-	0	False	2025-01-30 07:17:51.000000 UTC	N/A	Disabled
1568	4	MemCompression	0xc387e3216300	38	-	N/A	False	2025-01-30 07:17:51.000000 UTC	N/A	Disabled
1708	636	svchost.exe	0xc387de8de080	12	-	0	False	2025-01-30 07:17:51.000000 UTC	N/A	Disabled
1788	636	svchost.exe	0xc387de9c8080	4	-	0	False	2025-01-30 07:17:51.000000 UTC	N/A	Disabled
1796	636	svchost.exe	0xc387de9c6080	3	-	0	False	2025-01-30 07:17:51.000000 UTC	N/A	Disabled
1868	636	svchost.exe	0xc387de98f080	2	-	0	False	2025-01-30 07:17:51.000000 UTC	N/A	Disabled
1948	636	svchost.exe	0xc387de95a080	6	-	0	False	2025-01-30 07:17:52.000000 UTC	N/A	Disabled
2028	636	spoolsv.exe	0xc387de951080	7	-	0	False	2025-01-30 07:17:52.000000 UTC	N/A	Disabled
1540	636	svchost.exe	0xc387e3405080	13	-	0	False	2025-01-30 07:17:52.000000 UTC	N/A	Disabled
2080	636	svchost.exe	0xc387e3445080	5	-	0	False	2025-01-30 07:17:52.000000 UTC	N/A	Disabled
2300	636	svchost.exe	0xc387e364f080	9	-	0	False	2025-01-30 07:17:53.000000 UTC	N/A	Disabled
2380	636	svchost.exe	0xc387e3694080	3	-	0	False	2025-01-30 07:17:54.000000 UTC	N/A	Disabled
2480	636	svchost.exe	0xc387e36e6080	9	-	0	False	2025-01-30 07:17:54.000000 UTC	N/A	Disabled
2540	636	MpDefenderCore	0xc387e3696080	9	-	0	False	2025-01-30 07:17:54.000000 UTC	N/A	Disabled
2624	636	VGAuthService.	0xc387e3737300	2	-	0	False	2025-01-30 07:17:54.000000 UTC	N/A	Disabled
2636	636	vm3dservice.ex	0xc387e37340c0	3	-	0	False	2025-01-30 07:17:54.000000 UTC	N/A	Disabled
2660	636	vmtoolsd.exe	0xc387e3740080	11	-	0	False	2025-01-30 07:17:54.000000 UTC	N/A	Disabled
2712	636	MsMpEng.exe	0xc387e37ae080	8	-	0	False	2025-01-30 07:17:54.000000 UTC	N/A	Disabled
2732	636	WFTPServer.exe	0xc387e37d6080	12	-	0	False	2025-01-30 07:17:54.000000 UTC	N/A	Disabled
2900	2636	vm3dservice.ex	0xc387e35a30c0	4	-	1	False	2025-01-30 07:17:54.000000 UTC	N/A	Disabled
3124	636	dllhost.exe	0xc387e39440c0	10	-	0	False	2025-01-30 07:17:55.000000 UTC	N/A	Disabled
3156	756	WmiPrvSE.exe	0xc387e386f080	12	-	0	False	2025-01-30 07:17:55.000000 UTC	N/A	Disabled
3336	756	dllhost.exe	0xc387e3a640c0	5	-	0	False	2025-01-30 07:17:55.000000 UTC	N/A	Disabled
3544	636	SearchIndexer.	0xc387e3a9e080	16	-	0	False	2025-01-30 07:17:56.000000 UTC	N/A	Disabled
3836	508	dasHost.exe	0xc387e3cf9080	3	-	0	False	2025-01-30 07:17:57.000000 UTC	N/A	Disabled
3996	636	msdtc.exe	0xc387e3b59080	9	-	0	False	2025-01-30 07:17:58.000000 UTC	N/A	Disabled
3664	2480	AggregatorHost	0xc387e3bc90c0	1	-	0	False	2025-01-30 07:17:59.000000 UTC	N/A	Disabled
5040	776	sihost.exe	0xc387e3f11300	10	-	1	False	2025-01-30 07:18:37.000000 UTC	N/A	Disabled
5056	636	svchost.exe	0xc387e48e6080	9	-	1	False	2025-01-30 07:18:37.000000 UTC	N/A	Disabled
4128	776	taskhostw.exe	0xc387e42c4080	9	-	1	False	2025-01-30 07:18:38.000000 UTC	N/A	Disabled
3980	508	ctfmon.exe	0xc387e4aed080	8	-	1	False	2025-01-30 07:18:38.000000 UTC	N/A	Disabled
1412	564	userinit.exe	0xc387e4c660c0	0	-	1	False	2025-01-30 07:18:39.000000 UTC	2025-01-30 07:19:07.000000 UTC	Disabled
3816	1412	explorer.exe	0xc387e4c6d080	95	-	1	False	2025-01-30 07:18:39.000000 UTC	N/A	Disabled
4780	636	svchost.exe	0xc387e4d680c0	5	-	1	False	2025-01-30 07:18:42.000000 UTC	N/A	Disabled
5288	756	StartMenuExper	0xc387e4ead080	9	-	1	False	2025-01-30 07:18:45.000000 UTC	N/A	Disabled
5364	756	RuntimeBroker.	0xc387e4ed5080	1	-	1	False	2025-01-30 07:18:45.000000 UTC	N/A	Disabled
5496	756	SearchApp.exe	0xc387e4f1f080	52	-	1	False	2025-01-30 07:18:46.000000 UTC	N/A	Disabled
5604	756	RuntimeBroker.	0xc387e513c080	9	-	1	False	2025-01-30 07:18:46.000000 UTC	N/A	Disabled
5732	756	SkypeApp.exe	0xc387e5024080	13	-	1	False	2025-01-30 07:18:47.000000 UTC	N/A	Disabled
